row_idx,col_idx,x_range,y_range,count,median_area_pct,p25_area_pct,p75_area_pct,iqr_area_pct,median_width_px,median_height_px
0,0,0.000-0.083,0.000-0.125,0,,,,,,
0,1,0.083-0.167,0.000-0.125,0,,,,,,
0,2,0.167-0.250,0.000-0.125,0,,,,,,
0,3,0.250-0.333,0.000-0.125,0,,,,,,
0,4,0.333-0.417,0.000-0.125,0,,,,,,
0,5,0.417-0.500,0.000-0.125,0,,,,,,
0,6,0.500-0.583,0.000-0.125,0,,,,,,
0,7,0.583-0.667,0.000-0.125,0,,,,,,
0,8,0.667-0.750,0.000-0.125,0,,,,,,
0,9,0.750-0.833,0.000-0.125,0,,,,,,
0,10,0.833-0.917,0.000-0.125,0,,,,,,
0,11,0.917-1.000,0.000-0.125,0,,,,,,
1,0,0.000-0.083,0.125-0.250,0,,,,,,
1,1,0.083-0.167,0.125-0.250,0,,,,,,
1,2,0.167-0.250,0.125-0.250,0,,,,,,
1,3,0.250-0.333,0.125-0.250,0,,,,,,
1,4,0.333-0.417,0.125-0.250,0,,,,,,
1,5,0.417-0.500,0.125-0.250,0,,,,,,
1,6,0.500-0.583,0.125-0.250,0,,,,,,
1,7,0.583-0.667,0.125-0.250,0,,,,,,
1,8,0.667-0.750,0.125-0.250,0,,,,,,
1,9,0.750-0.833,0.125-0.250,0,,,,,,
1,10,0.833-0.917,0.125-0.250,0,,,,,,
1,11,0.917-1.000,0.125-0.250,0,,,,,,
2,0,0.000-0.083,0.250-0.375,0,,,,,,
2,1,0.083-0.167,0.250-0.375,0,,,,,,
2,2,0.167-0.250,0.250-0.375,1,0.013744212962962963,0.013744212962962963,0.013744212962962963,0.0,60.0,19.0
2,3,0.250-0.333,0.250-0.375,2,0.007346540162639449,0.005853301803818288,0.008839778521460612,0.002986476717642324,61.0930174014286,9.54482519903081
2,4,0.333-0.417,0.250-0.375,6,0.021721085114975693,0.0105657012104119,0.03530606665305259,0.024740365442640688,146.02813852813847,12.666666666666686
2,5,0.417-0.500,0.250-0.375,14,0.028988776769316507,0.009426914509629696,0.09117148378448592,0.08174456927485622,138.57142857142856,16.882882882882882
2,6,0.500-0.583,0.250-0.375,10,0.03359370825429077,0.023307559585048016,0.049544023956127545,0.02623646437107953,152.0648588915334,19.666666666666686
2,7,0.583-0.667,0.250-0.375,25,0.01495444704733461,0.007678474716829116,0.04714023919753087,0.03946176448070175,58.26086956521749,22.80701754385973
2,8,0.667-0.750,0.250-0.375,18,0.019017897173210292,0.015493416551893003,0.026808045795378082,0.011314629243485079,67.05207445296969,26.190476190476147
2,9,0.750-0.833,0.250-0.375,6,0.016381984430212163,0.012925150986793064,0.030646659800379172,0.01772150881358611,56.4591836734694,31.857142857142833
2,10,0.833-0.917,0.250-0.375,3,0.020953896604938273,0.020582987245824247,0.06199314216427311,0.04141015491844886,79.0,33.529411764705856
2,11,0.917-1.000,0.250-0.375,0,,,,,,
3,0,0.000-0.083,0.375-0.500,5,0.021017615788567538,0.01597512252201728,0.02315505541891709,0.007179932896899808,85.22727272727273,20.833333333333258
3,1,0.083-0.167,0.375-0.500,15,0.029194238777914123,0.01161497932484508,0.07361273878480676,0.06199775945996168,98.10126582278474,24.683544303797362
3,2,0.167-0.250,0.375-0.500,51,0.01753647586980943,0.006380570775855054,0.03899044533717926,0.032609874561324206,81.25,20.33898305084756
3,3,0.250-0.333,0.375-0.500,81,0.02359423225308642,0.006164352769336964,0.04592477772064203,0.039760424951305065,93.54838709677415,21.32352941176464
3,4,0.333-0.417,0.375-0.500,139,0.019484973188676855,0.0069448113677787636,0.04775511188271605,0.04081030051493729,75.1479289940828,20.192307692307736
